Date,Value
01/01/2006,8681
02/01/2006,8144
03/01/2006,8920
04/01/2006,8462
05/01/2006,8899
06/01/2006,8606
07/01/2006,8787
08/01/2006,8661
09/01/2006,8829
10/01/2006,8767
11/01/2006,8895
12/01/2006,8774
01/01/2007,8723
02/01/2007,7566
03/01/2007,9009
04/01/2007,10206
05/01/2007,10608
06/01/2007,10310
07/01/2007,10761
08/01/2007,10653
09/01/2007,10446
10/01/2007,9887
11/01/2007,10031
12/01/2007,9895
01/01/2008,9868
02/01/2008,9673
03/01/2008,10469
04/01/2008,10562
05/01/2008,10582
06/01/2008,10824
07/01/2008,11206
08/01/2008,11129
09/01/2008,10481
10/01/2008,10379
11/01/2008,10583
12/01/2008,9695
01/01/2009,10686
02/01/2009,9984
03/01/2009,11185
04/01/2009,10908
05/01/2009,11448
06/01/2009,11384
07/01/2009,11348
08/01/2009,10905
09/01/2009,10243
10/01/2009,11087
11/01/2009,10592
12/01/2009,10738
01/01/2010,10541
02/01/2010,9641
03/01/2010,10759
04/01/2010,10394
05/01/2010,10476
06/01/2010,10312
07/01/2010,10466
08/01/2010,10438
09/01/2010,9685
10/01/2010,10796
11/01/2010,10106
12/01/2010,10694
01/01/2011,10354
02/01/2011,9270
03/01/2011,10733
04/01/2011,10188
05/01/2011,10513
06/01/2011,10147
07/01/2011,10749
08/01/2011,9678
09/01/2011,9692
10/01/2011,10152
11/01/2011,9852
12/01/2011,9777
01/01/2012,9779
02/01/2012,9840
03/01/2012,11285
04/01/2012,11271
05/01/2012,11872
06/01/2012,12034
07/01/2012,12391
08/01/2012,11471
09/01/2012,11556
10/01/2012,11501
11/01/2012,10650
12/01/2012,10438
01/01/2013,10089
02/01/2013,10281
03/01/2013,11240
04/01/2013,11529
05/01/2013,11767
06/01/2013,11817
07/01/2013,15407
08/01/2013,14321
09/01/2013,15113
10/01/2013,15531
11/01/2013,15487
12/01/2013,15901
01/01/2014,15176
02/01/2014,14856
03/01/2014,17471
04/01/2014,16671
05/01/2014,16781
06/01/2014,17848
07/01/2014,16585
08/01/2014,17091
09/01/2014,18253
10/01/2014,19079
11/01/2014,18605
12/01/2014,20080
01/01/2015,19244
02/01/2015,17640
03/01/2015,21290
04/01/2015,21171
05/01/2015,22177
06/01/2015,22207
07/01/2015,21171
08/01/2015,22295
09/01/2015,22021
10/01/2015,22964
11/01/2015,22355
12/01/2015,22996
01/01/2016,22238
02/01/2016,21229
03/01/2016,23206
04/01/2016,23149
05/01/2016,24401
06/01/2016,23821
07/01/2016,21574
08/01/2016,23923
09/01/2016,23570
10/01/2016,24533
11/01/2016,24104
12/01/2016,24841
01/01/2017,24185
02/01/2017,21743
03/01/2017,25775
04/01/2017,25411
05/01/2017,27385
06/01/2017,24432
07/01/2017,27016
08/01/2017,27679
09/01/2017,26158
10/01/2017,28765
11/01/2017,28246
12/01/2017,29059
01/01/2018,28075
02/01/2018,25362
03/01/2018,29223
04/01/2018,28942
05/01/2018,28995
06/01/2018,24833
07/01/2018,29086
08/01/2018,28098
09/01/2018,27618
10/01/2018,29317
11/01/2018,28049
12/01/2018,29201
01/01/2019,27768
02/01/2019,25305
03/01/2019,28366
04/01/2019,28062
05/01/2019,28369
06/01/2019,25816
07/01/2019,29714
08/01/2019,27651
09/01/2019,28293
10/01/2019,29278
11/01/2019,28563
12/01/2019,28860
01/01/2020,26733
02/01/2020,25616
03/01/2020,18548
04/01/2020,5138
05/01/2020,5077
06/01/2020,8591
07/01/2020,11116
08/01/2020,11014
09/01/2020,9678
10/01/2020,10128
11/01/2020,11622
12/01/2020,11330
01/01/2021,10149
02/01/2021,9796
03/01/2021,12041
04/01/2021,12452
05/01/2021,12230
06/01/2021,11978
07/01/2021,5102
08/01/2021,5947
09/01/2021,8693
10/01/2021,11347
11/01/2021,12792
12/01/2021,14213
01/01/2022,14484
02/01/2022,10499
03/01/2022,15735
04/01/2022,15890
05/01/2022,17075
06/01/2022,18326
07/01/2022,19467
08/01/2022,19388
09/01/2022,20587
10/01/2022,21807
11/01/2022,21589
12/01/2022,23118
01/01/2023,22717
02/01/2023,20811
03/01/2023,23856
04/01/2023,21402
05/01/2023,23716
06/01/2023,23292
07/01/2023,25211
08/01/2023,24979
09/01/2023,25082
10/01/2023,26793
11/01/2023,26171
12/01/2023,26861
