Date,Actual,Predicted
2022-11-01,30678,52488.29824289676
2022-12-01,50644,48827.20802089266
2023-01-01,60428,46708.94862938585
2023-02-01,61671,51597.66772477814
2023-03-01,76698,44232.237576156534
2023-04-01,46324,46175.855711298886
2023-05-01,37251,38962.581984971366
2023-06-01,37694,38783.40330082221
2023-07-01,33329,39590.178228369165
2023-08-01,41283,37607.115925854996
2023-09-01,28470,37425.67060209633
2023-10-01,66150,36966.831872231145
2023-11-01,87067,39763.10914828063
2023-12-01,85501,40154.04727709018
2024-01-01,70646,40145.293049732616
2024-02-01,69647,48455.122705971255
2024-03-01,54214,38017.30557968139
2024-04-01,32963,41137.51826996873
2024-05-01,26993,35519.99261475723
2024-06-01,33204,34688.00416110606
2024-07-01,72530,34439.882421813
2024-08-01,67849,33771.45512433268
2024-09-01,32930,33856.40719553094
2024-10-01,35877,33637.441642519916
2024-11-01,31321,37575.49508576262
2024-12-01,56942,42521.11762011347
